before_image_id,after_image_id,pair_type,before_soma_area_mean,before_circularity_mean,before_neurite_length,before_branch_count,before_neurite_density,after_soma_area_mean,after_circularity_mean,after_neurite_length,after_branch_count,after_neurite_density,delta_soma_area_mean,delta_circularity_mean,delta_neurite_length,delta_branch_count,delta_neurite_density,dish,label,is_synthetic
d1_t00_ph035,d1_t02_ph188,real_longitudinal,1052.25,0.16885434411094202,559,59,0.13281064385839866,447.0,0.25844763725353226,427,36,0.15920954511558538,-605.25,0.08959329314259024,-132.0,-23.0,0.02639890125718672,1,2.0,False
d1_t00_ph036,d1_t02_ph168,real_longitudinal,2055.5,0.276693736932951,348,40,0.08465093651179761,829.5,0.2658785220325188,335,5,0.10096443640747438,-1226.0,-0.01081521490043219,-13.0,-35.0,0.016313499895676764,1,2.0,False
d1_t00_ph037,d1_t02_ph187,real_longitudinal,1902.0,0.22829759337291416,508,58,0.13354363827549948,2622.0,0.16770861971214088,202,5,0.07704042715484363,720.0,-0.06058897366077329,-306.0,-53.0,-0.056503211120655844,1,2.0,False
d1_t00_ph038,d1_t02_ph186,real_longitudinal,3827.0,0.3297054922693412,250,32,0.06532532009406847,587.6666666666666,0.24186016595938717,477,29,0.13528077141236527,-3239.3333333333335,-0.08784532630995404,227.0,-3.0,0.06995545131829681,1,2.0,False
d1_t00_ph039,d1_t02_ph173,real_longitudinal,1379.6666666666667,0.2848614197658163,517,58,0.12490939840541193,358.4,0.31730061615462424,258,12,0.14397321428571427,-1021.2666666666668,0.032439196388807934,-259.0,-46.0,0.019063815880302343,1,2.0,False
d1_t00_ph040,d1_t02_ph182,real_longitudinal,4230.0,0.3427968036218172,302,43,0.07139479905437353,730.25,0.28021279385532144,374,20,0.1280383430332078,-3499.75,-0.06258400976649575,72.0,-23.0,0.05664354397883427,1,2.0,False
d1_t00_ph041,d1_t02_ph170,real_longitudinal,1671.6666666666667,0.31174474001680935,446,46,0.08893320039880359,1755.5,0.41030153386218937,316,26,0.09000284819139846,83.83333333333326,0.09855679384538002,-130.0,-20.0,0.0010696477925948716,1,2.0,False
d1_t00_ph042,d1_t02_ph185,real_longitudinal,1951.5,0.10827783254080334,441,52,0.11299000768639508,1146.6666666666667,0.32273860950495464,319,10,0.09273255813953489,-804.8333333333333,0.2144607769641513,-122.0,-42.0,-0.020257449546860193,1,2.0,False
d1_t00_ph043,d1_t02_ph183,real_longitudinal,3813.0,0.18160464655545497,366,51,0.0959874114870181,892.0,0.24735574943103678,275,28,0.10276532137518685,-2921.0,0.06575110287558181,-91.0,-23.0,0.0067779098881687455,1,2.0,False
d1_t00_ph044,d1_t02_ph175,real_longitudinal,3687.0,0.18144135739649622,234,20,0.06346623270951994,347.85714285714283,0.3408470481131164,355,14,0.1457905544147844,-3339.1428571428573,0.15940569071662017,121.0,-6.0,0.08232432170526445,1,2.0,False
