image_id,dish,day,label,soma_area_mean,circularity_mean,neurite_length,branch_count,neurite_density
d1_t04_ph301,1,4,4.0,514.1666666666666,0.32335101620933115,344,16,0.11150729335494328
d1_t04_ph302,1,4,4.0,535.6,0.3546150860100598,344,17,0.128454070201643
d1_t04_ph303,1,4,4.0,398.0,0.3362964054032733,318,8,0.13316582914572864
d1_t04_ph304,1,4,4.0,415.3333333333333,0.3086687399663804,373,44,0.14967897271268057
d1_t04_ph305,1,4,4.0,469.6,0.32269522983412524,306,23,0.1303236797274276
d1_t04_ph306,1,4,4.0,455.4,0.29778443200959204,337,25,0.14800175669740886
d1_t04_ph307,1,4,4.0,619.0,0.36698389615454463,291,26,0.11752827140549273
d1_t04_ph308,1,4,4.0,393.25,0.2957571189529895,508,29,0.161474888747616
d1_t06_ph384,1,6,6.0,327.2,0.47002194090065796,215,18,0.13141809290953546
d1_t06_ph385,1,6,6.0,333.2857142857143,0.36970836519645234,334,5,0.14316330904414917
d1_t06_ph386,1,6,6.0,489.25,0.2234188841457722,310,27,0.15840572304547776
d1_t06_ph387,1,6,6.0,295.0,0.346697607105863,186,17,0.1576271186440678
d1_t06_ph388,1,6,6.0,368.85714285714283,0.39452296287286476,353,23,0.1367157242447715
d1_t06_ph389,1,6,6.0,321.25,0.43011295966490015,332,12,0.12918287937743192
d1_t06_ph390,1,6,6.0,573.5,0.30389441477681056,350,20,0.15257192676547515
d1_t06_ph391,1,6,6.0,546.6666666666666,0.26861447367975033,444,8,0.1353658536585366
d1_t06_ph392,1,6,6.0,835.6,0.1607063248662725,581,47,0.13906175203446625
d1_t06_ph393,1,6,6.0,689.2,0.27514776915693057,529,48,0.1535113174695299
d1_t06_ph394,1,6,6.0,1427.6666666666667,0.13886320063288907,588,45,0.13728694840065375
d1_t06_ph395,1,6,6.0,453.0,0.28012321472822177,170,7,0.12509197939661515
d1_t06_ph396,1,6,6.0,711.3333333333334,0.3383320479510401,209,21,0.0979381443298969
d1_t06_ph397,1,6,6.0,808.3333333333334,0.2322369199447779,301,13,0.12412371134020618
d1_t06_ph398,1,6,6.0,230.0909090909091,0.3904816667680532,396,11,0.15645989727380483
d1_t06_ph399,1,6,6.0,396.1666666666667,0.265877531851328,371,15,0.15607909129154396
d1_t06_ph400,1,6,6.0,371.6666666666667,0.22500391216325413,408,37,0.18295964125560538
d1_t06_ph401,1,6,6.0,272.3333333333333,0.3839931971269599,239,4,0.14626682986536108
d1_t06_ph402,1,6,6.0,318.6,0.3142917720387174,261,16,0.1638418079096045
d1_t06_ph403,1,6,6.0,348.5,0.38466743080282284,426,18,0.15279770444763272
d1_t06_ph404,1,6,6.0,440.1666666666667,0.307403848065176,343,11,0.1298750473305566
d1_t08_ph461,1,8,8.0,290.22222222222223,0.3724351017030328,371,23,0.14203675344563552
d1_t08_ph462,1,8,8.0,240.25,0.34147411461008775,333,20,0.1732570239334027
d1_t08_ph463,1,8,8.0,478.0,0.3603269129143639,294,30,0.12301255230125523
d1_t08_ph464,1,8,8.0,262.7142857142857,0.28689040039117825,329,19,0.1789015769439913
d1_t08_ph465,1,8,8.0,271.3333333333333,0.309832808675851,259,20,0.1590909090909091
d1_t08_ph466,1,8,8.0,337.0,0.3331919271323415,378,26,0.16023738872403562
d1_t08_ph467,1,8,8.0,277.7142857142857,0.36060833849699797,308,17,0.15843621399176955
d1_t08_ph468,1,8,8.0,241.88888888888889,0.441641168922002,296,16,0.13596692696371154
d1_t08_ph469,1,8,8.0,308.6,0.37858942091521686,238,24,0.1542449773169151
d1_t08_ph470,1,8,8.0,263.8,0.3675115287652152,451,8,0.1709628506444276
d1_t08_ph471,1,8,8.0,341.2857142857143,0.2961405615483832,375,22,0.15696944328170784
d1_t08_ph472,1,8,8.0,294.1111111111111,0.33934990058393594,402,19,0.15187004155647904
d1_t08_ph473,1,8,8.0,330.85714285714283,0.339520072753498,329,16,0.14205526770293608
d1_t08_ph474,1,8,8.0,327.6666666666667,0.3959166187777876,310,11,0.15768056968463887
d1_t08_ph475,1,8,8.0,304.42857142857144,0.3036641966149447,353,26,0.1656499296105115
d1_t08_ph476,1,8,8.0,265.5,0.38080149094985083,335,16,0.15772128060263654
d1_t08_ph477,1,8,8.0,251.71428571428572,0.24184753423248861,367,10,0.20828603859250852
d1_t08_ph478,1,8,8.0,270.0,0.26487521857665747,288,8,0.17777777777777778
d1_t08_ph479,1,8,8.0,316.75,0.5108090849030912,277,10,0.10931333859510656
d1_t08_ph480,1,8,8.0,435.4,0.33989704018962125,286,23,0.13137344970142398
d1_t08_ph481,1,8,8.0,296.14285714285717,0.2860996297250552,327,10,0.1577424023154848
d1_t08_ph482,1,8,8.0,382.57142857142856,0.29627055920642753,410,21,0.1530993278566094
d1_t08_ph483,1,8,8.0,393.6666666666667,0.3484338077962363,347,30,0.14690939881456394
d1_t08_ph484,1,8,8.0,347.2857142857143,0.309598416274212,367,18,0.15096668037844507
d1_t08_ph485,1,8,8.0,428.2,0.27407025882747676,336,21,0.1569360112097151
d1_t08_ph486,1,8,8.0,279.875,0.31157720670711264,356,15,0.15899955337204108
d1_t08_ph487,1,8,8.0,345.6666666666667,0.39721720343955247,320,26,0.15429122468659595
d1_t08_ph488,1,8,8.0,273.1111111111111,0.2690697726499534,466,16,0.18958502847843775
d1_t08_ph489,1,8,8.0,315.6666666666667,0.20875815217370478,574,40,0.20204153467089053
d1_t08_ph490,1,8,8.0,368.57142857142856,0.3770185908662927,358,13,0.1387596899224806
d1_t08_ph491,1,8,8.0,452.25,0.40654428273737503,218,14,0.1205085682697623
d1_t08_ph492,1,8,8.0,285.0,0.33283189464990115,388,11,0.17017543859649123
d1_t08_ph493,1,8,8.0,315.2,0.3860580228811944,248,14,0.15736040609137056
d1_t10_ph605,1,10,10.0,343.0,0.4800260354623293,220,13,0.10689990281827016
d1_t10_ph606,1,10,10.0,261.0,0.45948776742770925,312,24,0.14942528735632185
d1_t10_ph607,1,10,10.0,514.8333333333334,0.2882606926818145,442,43,0.14308837811589512
d1_t10_ph608,1,10,10.0,459.0,0.3509313554127951,387,20,0.14052287581699346
d1_t10_ph609,1,10,10.0,384.75,0.4570866238055513,191,15,0.12410656270305392
d1_t10_ph610,1,10,10.0,291.7142857142857,0.3674933039531048,292,13,0.14299706170421156
d1_t10_ph611,1,10,10.0,290.75,0.3556757903390487,362,12,0.15563198624247634
d1_t10_ph612,1,10,10.0,496.8,0.2648943939131817,394,22,0.15861513687600645
d1_t10_ph613,1,10,10.0,364.0,0.5003624458232268,130,4,0.11904761904761904
d1_t10_ph614,1,10,10.0,312.22222222222223,0.29096741201008397,468,9,0.16654804270462634
d1_t10_ph615,1,10,10.0,286.125,0.4155586463183327,316,12,0.1380515508955876
d1_t10_ph616,1,10,10.0,389.57142857142856,0.3553825871279748,356,26,0.13054638797213056
d1_t10_ph617,1,10,10.0,1062.6666666666667,0.1326450649122077,467,36,0.14648682559598494
d1_t10_ph618,1,10,10.0,547.3333333333334,0.2545749778902882,463,37,0.14098660170523752
d1_t10_ph619,1,10,10.0,547.2,0.4493614430758634,240,8,0.08771929824561403
d1_t10_ph620,1,10,10.0,877.25,0.1850144307848318,452,16,0.12881162724422912
d1_t10_ph621,1,10,10.0,836.25,0.1882353200078722,441,13,0.13183856502242153
d1_t10_ph622,1,10,10.0,438.14285714285717,0.30881489287104974,448,23,0.14607107923051843
d1_t10_ph623,1,10,10.0,342.3333333333333,0.2673677625478961,562,31,0.18240830899058746
d1_t10_ph624,1,10,10.0,337.125,0.3869252989845686,403,30,0.14942528735632185
d1_t10_ph625,1,10,10.0,263.0,0.3280088622911914,391,17,0.16518800168990283
d1_t10_ph626,1,10,10.0,472.0,0.3708359378180402,228,22,0.12076271186440678
d1_t10_ph627,1,10,10.0,731.75,0.34432599825753146,427,36,0.1458831568158524
d1_t10_ph628,1,10,10.0,300.1111111111111,0.40851331489552506,385,24,0.14253980007404665
d1_t10_ph629,1,10,10.0,693.5,0.17317685103746275,414,15,0.14924297043979812
d1_t10_ph630,1,10,10.0,317.5,0.4292792710022739,156,8,0.12283464566929134
d1_t10_ph631,1,10,10.0,3485.0,0.24237358106883922,199,16,0.05710186513629842
d1_t10_ph632,1,10,10.0,1168.6666666666667,0.33581060369044824,412,30,0.11751283513976041
d1_t10_ph633,1,10,10.0,280.75,0.31735972110534905,376,25,0.1674087266251113
d1_t10_ph634,1,10,10.0,247.45454545454547,0.37980422607789827,462,8,0.16972814107274062
d1_t10_ph635,1,10,10.0,317.6,0.37395387849637757,234,15,0.1473551637279597
d1_t10_ph636,1,10,10.0,329.14285714285717,0.3300279842269669,359,21,0.1558159722222222
d1_t10_ph637,1,10,10.0,521.5,0.4175639611783744,384,19,0.12272291466922339
d1_t10_ph638,1,10,10.0,450.8,0.33952465455502223,329,7,0.14596273291925466
